#Table1
plate,fiberid,mjd,z,zwarning,class,specObjID,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,OIII_5007_flux,OIII_5007_flux_err,OIII_4959_flux,OIII_4959_flux_err,OIII_4363_flux,OIII_4363_flux_err,NII_6548_flux,NII_6548_flux_err,NII_6584_flux,NII_6584_flux_err,SII_6717_flux,SII_6717_flux_err,SII_6731_flux,SII_6731_flux_err,OII_3726_flux,OII_3726_flux_err,OII_3729_flux,OII_3729_flux_err
301,91,51942,0.1063117,0,GALAXY,338920918430541824,21.98931,2.384295,225.1844,3.757578,18.4718,2.508632,7.204315,2.403639,3.498133,2.399095,43.55386,1.507215,131.3685,4.546105,36.63847,2.558943,27.34072,2.363978,14.57051,4.622288,19.39866,4.772176
415,427,51810,0.08600763,0,QSO,467365864572741632,52.20523,4.570556,522.5954,7.192336,158.5406,5.432723,35.13208,4.812231,7.115292,5.026143,201.6964,2.314067,608.3628,6.979755,74.94459,4.857756,65.73016,4.884357,14.86982,13.21461,165.0545,13.10393
2119,514,53792,0.06406385,0,GALAXY,2385923253462919168,18.2752,2.330016,192.731,4.041344,20.40102,2.713929,6.852916,2.600637,4.456069,2.585226,63.46073,1.305001,191.4122,3.93618,46.19622,2.988339,31.49814,2.921783,30.30909,4.073103,28.38673,3.898021
2121,42,54180,0.0252461,0,GALAXY,2388045317414086656,176.6336,4.789598,1830.461,16.15401,94.50802,4.633356,26.76053,4.13523,10.42762,3.998711,395.3112,3.744289,1192.35,11.29363,318.3377,7.618278,269.3469,7.326649,89.46934,21.39617,52.88446,12.27832
2202,316,53566,0.3634332,0,GALAXY,2479318516113631232,9.245414,1.380004,123.2067,10.51939,28.8772,1.799747,7.175042,1.254467,1.160306,1.794667,23.76785,1.564294,71.68934,4.718266,13.94366,6.759593,22.41469,6.247364,4.304934,1.723836,11.45687,1.846583
506,131,52022,0.1011238,0,GALAXY,569741395791734784,25.2634,2.852506,326.8794,4.922868,26.74738,3.08772,4.096327,3.66892,3.96964,2.94271,63.35445,1.536466,191.0916,4.634331,53.55792,3.508636,38.97931,3.182031,37.66001,6.097207,22.79179,6.138486
739,186,52520,0.06272379,0,GALAXY,832091200726001664,47.77025,3.106365,492.8199,6.275039,30.24186,3.549721,16.33309,3.382737,1.067398,3.6973,98.34052,1.617056,296.6177,4.877409,109.7053,3.87407,92.98405,3.843013,10.59278,8.627228,68.68811,7.668939
1831,374,54557,0.0457555,0,GALAXY,2061625610219841536,59.35776,3.075276,629.3993,7.036069,19.62427,2.782463,7.667772,2.62564,4.84806,2.920724,83.22513,1.411993,251.0262,4.258892,128.722,3.519878,92.17199,3.252432,69.46999,6.116244,54.02641,6.074831
744,184,52251,0.03981252,0,GALAXY,837720145991329792,45.00267,4.923592,451.9799,9.585347,36.78218,5.364644,14.02593,5.308156,2.54093,5.188085,112.3683,2.820892,338.9288,8.508451,143.4207,7.395702,105.7801,7.220693,73.89171,13.54873,46.41539,13.42943
978,583,52441,0.2478444,0,GALAXY,1101290403665045504,19.99877,3.424577,219.1738,13.53162,47.31135,3.814537,4.515846,3.948223,1.435018,4.214671,111.974,3.993024,337.7395,12.04387,61.62268,7.449325,43.72308,9.021698,86.06137,15.61121,67.18021,16.32583
2533,20,54585,0.2340679,0,GALAXY,2851910038514067456,12.76011,2.114856,144.7331,3.305499,13.3616,2.104584,0.9369726,1.833338,0.7248043,2.049927,45.87094,1.055427,138.3573,3.183408,35.46345,4.573632,21.77788,3.246993,21.17388,3.366683,20.13329,3.320059
620,575,52375,0.1026759,0,GALAXY,698216036884834304,18.2815,2.923351,194.8537,5.26337,17.27674,2.904322,4.751254,2.787287,3.756341,2.816324,48.80248,1.319173,147.1996,3.978927,29.9811,3.231583,23.14097,2.943659,14.9692,5.141744,29.90062,5.060409
1300,508,52973,0.06387475,0,GALAXY,1463809566750828544,27.49252,2.599252,435.0874,5.371321,26.04684,2.899796,4.156413,2.598057,0.1813519,2.624556,105.5129,1.447342,318.2511,4.365511,74.93828,3.173951,68.74232,3.065524,23.27784,4.424176,18.45317,4.394199
1947,262,53431,0.08758677,0,GALAXY,2192199194196862976,14.71776,2.680201,194.894,3.824549,10.9004,3.126997,6.926024,3.000093,0.5214108,2.988245,57.83993,1.222036,174.4586,3.685939,32.42695,3.454887,34.47109,3.528218,17.27758,6.283231,26.63906,6.237675
